product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0,196.01,05-07-2025,37,3,FALSE,
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0,119.64,06-08-2025,2,2.5,FALSE,
FB000003,Accessories,Uniqlo,Winter,,Black,33.8,0,33.8,06-08-2025,22,4.3,FALSE,
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0,75.36,07-07-2025,48,2.6,FALSE,
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0,105.02,06-08-2025,10,,FALSE,
FB000006,Accessories,Zara,Fall,,White,35.03,35.4,22.63,06-08-2025,38,2.9,TRUE,Color Mismatch
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,29-10-2024,38,2.6,FALSE,
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,06-08-2025,47,1.6,FALSE,
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,24-03-2025,14,,FALSE,
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,06-08-2025,37,,FALSE,
FB000011,Tops,Mango,Spring,L,Black,116.84,0,116.84,25-04-2025,3,4.4,FALSE,
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0,146.98,06-08-2025,2,3.4,FALSE,
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0,37.51,04-01-2025,43,,FALSE,
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0,48.15,06-08-2025,39,1.6,FALSE,
FB000015,Tops,Mango,Winter,M,Beige,79.66,0,79.66,06-08-2025,7,1.7,FALSE,
FB000016,Accessories,Mango,Winter,,Green,67.57,0,67.57,06-08-2025,17,2.4,FALSE,
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0,123.53,06-08-2025,14,4.6,FALSE,
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0,102.35,06-08-2025,14,3.5,FALSE,
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,06-08-2025,16,4.1,FALSE,
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0,142.59,06-08-2025,1,3.7,FALSE,
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,06-08-2025,42,,FALSE,
FB000022,Accessories,Zara,Spring,,Brown,62.3,0,62.3,24-09-2024,10,2.5,FALSE,
FB000023,Accessories,Zara,Winter,,Pink,38.48,0,38.48,06-08-2025,46,1.2,FALSE,
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0,91.36,06-08-2025,37,1.2,TRUE,Size Issue
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,06-08-2025,38,3.6,FALSE,
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34,26.99,11-06-2025,16,3.7,FALSE,
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36,30.11,06-08-2025,25,1.1,TRUE,Damaged
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0,53.37,06-08-2025,28,3.8,FALSE,
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0,114.35,06-08-2025,6,1.2,FALSE,
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0,77.63,24-10-2024,1,,FALSE,
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0,71.29,06-08-2025,37,4.1,TRUE,Quality Issue
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,16-04-2025,5,,FALSE,
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0,143.78,16-10-2024,43,1.1,FALSE,
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0,88.23,06-08-2025,44,1.6,FALSE,
FB000035,Accessories,Forever21,Fall,,Navy,58.57,0,58.57,06-08-2025,38,1.5,FALSE,
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,06-08-2025,37,4.9,FALSE,
